luminance,s_frequency,radius,area,dataset,t_frequency,eccentricity,stimulus,sensitivity
190,0.0055,99999,31415298221,krajancich2021,94.41,0,gabor,1
190,0.011111111,63,12468.98124,krajancich2021,92.8,0,gabor,1
190,0.040816327,17.15,924.0130853,krajancich2021,85.99,0,gabor,1
190,0.040816327,17.15,924.0130853,krajancich2021,89.63,19.21961013,gabor,1
190,0.153846154,4.55,65.03882191,krajancich2021,86.38,0,gabor,1
190,0.153846154,4.55,65.03882191,krajancich2021,87.54,25.23085047,gabor,1
190,0.153846154,4.55,65.03882191,krajancich2021,76.9,48.22833,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,56.92,0,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,71.15,14.84368352,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,71.58,29.20530948,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,65.41,42.69061437,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,51.91,55.04442917,gabor,1
3,0.011111111,63,12468.98124,krajancich2021,69.41,0,gabor,1
3,0.040816327,17.15,924.0130853,krajancich2021,62.33,0,gabor,1
3,0.153846154,4.55,65.03882191,krajancich2021,50.73,0,gabor,1
3,0.571428571,1.225,4.714352476,krajancich2021,39.79,0,gabor,1
3,0.571428571,1.225,4.714352476,krajancich2021,55.22,14.84368352,gabor,1
3,0.571428571,1.225,4.714352476,krajancich2021,47.51,29.20530948,gabor,1
3,0.571428571,1.225,4.714352476,krajancich2021,50.3,42.69061437,gabor,1
3,0.571428571,1.225,4.714352476,krajancich2021,23.01,55.04442917,gabor,1
23.9,0.011111111,63,12468.98124,krajancich2021,78.97,0,gabor,1
23.9,0.040816327,17.15,924.0130853,krajancich2021,68.11,0,gabor,1
23.9,0.153846154,4.55,65.03882191,krajancich2021,55.78,0,gabor,1
23.9,0.571428571,1.225,4.714352476,krajancich2021,48.43,0,gabor,1
23.9,0.571428571,1.225,4.714352476,krajancich2021,61.94,14.84368352,gabor,1
23.9,0.571428571,1.225,4.714352476,krajancich2021,59.59,29.20530948,gabor,1
23.9,0.571428571,1.225,4.714352476,krajancich2021,53.23,42.69061437,gabor,1
23.9,0.571428571,1.225,4.714352476,krajancich2021,39.64,55.04442917,gabor,1
190,0.011111111,63,12468.98124,krajancich2021,92.23,0,gabor,1
190,0.040816327,17.15,924.0130853,krajancich2021,85.7,0,gabor,1
190,0.153846154,4.55,65.03882191,krajancich2021,69.36,0,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,57.89,0,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,70.11,14.84368352,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,69.6,29.20530948,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,64.8,42.69061437,gabor,1
190,0.571428571,1.225,4.714352476,krajancich2021,54.89,55.04442917,gabor,1
0.34447688,0.01,30,2827.433388,kelly1961,1.6,0,smoothed-edge disk,15.2
0.34447688,0.01,30,2827.433388,kelly1961,2.7,0,smoothed-edge disk,17.3
0.34447688,0.01,30,2827.433388,kelly1961,4,0,smoothed-edge disk,22.7
0.34447688,0.01,30,2827.433388,kelly1961,5.1,0,smoothed-edge disk,22.2
0.34447688,0.01,30,2827.433388,kelly1961,6.8,0,smoothed-edge disk,22
0.34447688,0.01,30,2827.433388,kelly1961,8.8,0,smoothed-edge disk,16.5
0.34447688,0.01,30,2827.433388,kelly1961,10.7,0,smoothed-edge disk,11.2
0.34447688,0.01,30,2827.433388,kelly1961,12.7,0,smoothed-edge disk,7.1
0.34447688,0.01,30,2827.433388,kelly1961,16.2,0,smoothed-edge disk,2.92
0.34447688,0.01,30,2827.433388,kelly1961,19.8,0,smoothed-edge disk,1.24
3.762747458,0.01,30,2827.433388,kelly1961,1.6,0,smoothed-edge disk,17.3
3.762747458,0.01,30,2827.433388,kelly1961,2.7,0,smoothed-edge disk,19.8
3.762747458,0.01,30,2827.433388,kelly1961,4,0,smoothed-edge disk,35.7
3.762747458,0.01,30,2827.433388,kelly1961,5.1,0,smoothed-edge disk,40
3.762747458,0.01,30,2827.433388,kelly1961,6.8,0,smoothed-edge disk,55.5
3.762747458,0.01,30,2827.433388,kelly1961,8.8,0,smoothed-edge disk,50.5
3.762747458,0.01,30,2827.433388,kelly1961,10.7,0,smoothed-edge disk,52.3
3.762747458,0.01,30,2827.433388,kelly1961,12.7,0,smoothed-edge disk,41.1
3.762747458,0.01,30,2827.433388,kelly1961,16.2,0,smoothed-edge disk,24.7
3.762747458,0.01,30,2827.433388,kelly1961,19.8,0,smoothed-edge disk,14.9
3.762747458,0.01,30,2827.433388,kelly1961,24,0,smoothed-edge disk,6.19
3.762747458,0.01,30,2827.433388,kelly1961,28,0,smoothed-edge disk,3.08
3.762747458,0.01,30,2827.433388,kelly1961,32,0,smoothed-edge disk,2.09
40.80726116,0.01,30,2827.433388,kelly1961,1.6,0,smoothed-edge disk,17.8
